Year,County,Waterbody,Town,Month,Number,Species,Size
2014,Warren,Schoon River,Warrensburg/Bolton,May,400.0,Rainbow Trout,9.5
2016,Erie,Buffalo Creek,West Seneca,April,5000.0,Steelhead,4.9
2012,Warren,Crandall Park,Glens Falls,May,200.0,Rainbow Trout,9.98
2015,Hamilton,Seventh Lake,Inlet,June,300.0,Landlocked Salmon,7.0
2011,Tompkins,"Enfield Ck, T4",Enfield,April,510.0,Brown Trout,9.0
2015,Essex,Bass Lake,North Hudson,May,400.0,Rainbow Trout,8.1
2015,Herkimer,Third Lake,Webb,May,450.0,Lake Trout,6.3
2020,Essex,Cascade Brook,Keene,April,125.0,Brook Trout,8.0
2014,Herkimer,Spruce Creek,Salisbury,April,2640.0,Brown Trout,7.9
2015,Otsego,Elk Brook,Maryland,April,300.0,Brown Trout,8.0
2020,Tompkins,Salmon Creek,Lansing,October,20000.0,Rainbow Trout,3.2
2018,Monroe,Sandy Creek,Hamlin,April,64430.0,Chinook,3.2
2013,Albany,Lisha Kill,Colonie,March,290.0,Brown Trout,7.8
2015,Monroe,Irondequoit Creek,Pittsford,April,680.0,Brown Trout,8.3
2012,Chemung,Sing Sing Creek,Big Flats,March,180.0,Brown Trout,8.6
2016,Erie,Eighteenmile Creek,Boston,March,650.0,Brown Trout,7.9
2015,Essex,Black Pond,North Elba,September,500.0,Brook Trout,4.0
2019,Warren,Thirteenth Lake,Johnsburg,May,800.0,Splake,8.2
2011,Oneida,Big Creek,Marshall,June,1020.0,Brown Trout,8.5
2017,Hamilton,Deer Pond,Arietta,September,300.0,Brook Trout,5.0
2013,Tioga,Oakley Corners Pond,Owego,September,200.0,Tiger Muskellunge,10.1
2011,Oneida,Sauquoit Creek,New Hartford,April,1100.0,Brown Trout,8.0
2012,Essex,Willsboro Club Pond 2,Willsboro,April,90.0,Brown Trout,9.5
2017,Greene,Schoharie Creek,Jewett,April,410.0,Brown Trout,8.8
2011,Erie,Cazenovia Creek-East Branch,Aurora,April,11560.0,Steelhead,4.6
2020,Sullivan,Willowemoc Creek,Rockland,November,5600.0,Brown Trout,6.4
2016,Suffolk,Southards Pond,Babylon,October,150.0,Brown Trout,12.2
2014,Dutchess,Sprout Creek,La Grange,April,130.0,Brown Trout,8.4
2011,Erie,Springville Field and Stream C,Concord,May,190.0,Brook Trout,9.2
2014,Chautauqua,Clay Pond,Poland,April,100.0,Brown Trout,13.4
2012,Delaware,Delaware River West Branch,"Hamden, Walton",April,480.0,Brown Trout,13.7
2017,Madison,Sangerfield River,Hamilton,March,2150.0,Brown Trout,8.0
2020,Hamilton,Feullard Lake,Morehouse,September,90.0,Brook Trout,4.6
2019,Nassau,Massapequa Reservoir,Oyster Bay,April,900.0,Rainbow Trout,9.0
2016,Essex,Moose Pond,St. Armand,April,300.0,Rainbow Trout,13.0
2017,Westchester,Cross River Reservoir Outlet,Bedford,April,100.0,Brown Trout,13.0
2017,Sullivan,Callicoon Creek East Branch,Delaware,May,290.0,Brown Trout,9.1
2020,Hamilton,Sampson Lake,Arietta,September,1620.0,Brook Trout,4.7
2018,Monroe,Irondequoit Creek,Mendon,April,27500.0,Steelhead,4.7
2013,Ulster,Plattekill Creek,Saugerties,May,1020.0,Brown Trout,9.0
2011,Dutchess,Wappingers Creek,Stanford,March,80.0,Brown Trout,13.4
2011,Delaware,Delaware River East Branch,Middletown,April,350.0,Brown Trout,13.1
2018,Warren,Glen Creek,Johnsburg,April,610.0,Brown Trout,8.0
2017,Essex,West Branch Ausable River,North Elba,May,400.0,Rainbow Trout,15.0
2018,Monroe,Lake Ontario,Hamlin,May,11745.0,Brown Trout,9.0
2016,Monroe,Genesee River,Rochester,May,85250.0,Chinook,3.2
2017,Delaware,East Sidney Lake,Sidney,June,3600.0,Walleye,1.4
2016,Essex,Deadwater Pond,North Hudson,April,250.0,Brown Trout,13.0
2017,Dutchess,Ten Mile River,Dover,March,330.0,Brown Trout,13.0
2013,Putnam,Peekskill Hollow Brook,Putnam Valley,April,200.0,Brown Trout,13.4
2011,Onondaga,Skaneateles Lake,Spafford,May,9000.0,Landlocked Salmon,5.5
2019,Ulster,Beer Kill,Wawarsing,April,750.0,Brown Trout,8.7
2013,Delaware,Delaware River West Branch,Delhi,April,360.0,Brown Trout,13.4
2016,Essex,Goose Pond,Schroon,May,670.0,Rainbow Trout,8.3
2013,Franklin,Green Pond,Santa Clara,October,1400.0,Brook Trout,4.8
2019,Herkimer,Buck Pond,Webb,September,360.0,Brook Trout,4.4
2014,Tompkins,Cayuga Lake,Ithaca (T),November,40000.0,Lake Trout,6.4
2020,Fulton,East caraga lake,caroga,April,900.0,Rainbow Trout,8.6
2011,St Lawrence,Clear Pond,Parishville,November,1000.0,Brook Trout,4.2
2012,St Lawrence,Plumb Brook,Russell,May,2030.0,Brown Trout,8.2
2017,Delaware,Big Pond,Andes,September,240.0,Brown Trout,15.6
2016,Broome,Patterson Pond (#1),Union,April,800.0,Rainbow Trout,9.5
2011,Putnam,Croton River East Branch,Southeast,April,2370.0,Brown Trout,8.8
2013,Essex,Upper Preston Pond,Newcomb,October,500.0,Brook Trout,3.9
2018,Chautauqua,Cattaraugus Creek,Hanover,April,90000.0,Steelhead,4.9
2011,Fulton,East Caroga Lake,Caroga,April,1200.0,Rainbow Trout,7.9
2011,Monroe,Irondequoit Creek,Pittsford,June,690.0,Brown Trout,9.3
2012,Sullivan,Beaver Kill,Rockland,April,300.0,Brown Trout,13.6
2015,Washington,Hartshorn Brook,Greenwich,May,300.0,Brown Trout,7.9
2018,Tioga,Owego Creek,"Tioga, Owego",May,870.0,Brown Trout,9.4
2016,Essex,Winch Pond,Wilmington,October,550.0,Brook Trout,4.0
2018,Tioga,Cayuta Creek,Barton,May,780.0,Brown Trout,9.4
2011,Sullivan,Callicoon Creek,Delaware,April,680.0,Brown Trout,8.8
2019,Oswego,Beaverdam Brook,Albion,April,8480.0,Landlocked Salmon,7.3
2017,Clinton,Chazy Lake,Dannemora,April,7700.0,Rainbow Trout,9.0
2020,Saratoga,Kayaderosseras Creek,Greenfield,March,370.0,Brown Trout,8.8
2019,Orleans,Oak Orchard Creek,Carlton,April,10000.0,Steelhead,5.7
2020,Cattaraugus,Bone Run,South Valley,March,220.0,Brown Trout,9.0
2013,Sullivan,Willowemoc Creek,Rockland,May,140.0,Brown Trout,13.4
2017,Cortland,Otselic River,Cincinnatus,May,280.0,Brown Trout,13.0
2020,Essex,Clements Pond,Jay,September,98.0,Brook Trout,4.5
2017,Hamilton,Stephens Pond,Indian Lake,October,1300.0,Brown Trout,5.0
2019,Chautauqua,Goose Creek,"N Harmony, Harmony",March,1050.0,Brook Trout,8.2
2015,Madison,Chittenango Creek,Sullivan,April,160.0,Brown Trout,12.4
2012,Suffolk,Connetquot River,Islip,March,600.0,Rainbow Trout,8.9
2016,Ulster,Sawkill Creek,Woodstock,April,540.0,Brown Trout,9.0
2012,Erie,Main Park Pond - Village of Cl,Clarence,April,500.0,Rainbow Trout,9.4
2018,Essex,Palmer Dam Pond,North Hudson,April,250.0,Brown Trout,12.0
2016,Washington,Batten Kill,Greenwich,June,250.0,Brown Trout,12.7
2020,Essex,Lost Pond,Ticonderoga,May,750.0,Rainbow Trout,8.6
2013,Greene,Batavia Kill,Windham,May,70.0,Brown Trout,9.0
2016,Essex,Westport Reservoir,Westport,March,900.0,Brook Trout,8.0
2020,Essex,Trout Brook,Ticonderoga,March,125.0,Brook Trout,8.0
2012,Onondaga,Seneca River,Van Buren,September,6800.0,Tiger Muskellunge,10.4
2019,Essex,Ward Pond,Newcomb,May,130.0,Brown Trout,8.0
2020,Herkimer,Fourth Lake,Webb,April,5800.0,Lake Trout,6.6
2014,Orleans,Lake Ontario,Carlton,May,40290.0,Lake Trout,6.3
2018,Dutchess,Fishkill Creek,Beekman,March,3650.0,Brown Trout,9.2
2014,Tompkins,Salmon Creek,Lansing,April,150.0,Brown Trout,13.7
2018,Columbia,Lake Taghkanic,Gallatin,June,3360.0,Walleye,1.7
2018,Westchester,Croton River,Cortlandt,March,780.0,Rainbow Trout,9.0
2011,Herkimer,Third Lake,Webb,October,6000.0,Rainbow Trout,5.6
2013,Franklin,Benz Pond,Waverly,September,500.0,Brook Trout,4.1
2011,Putnam,Lake Gleneida,Carmel,June,700.0,Lake Trout,6.0
2017,Cayuga,Little Sodus Bay,Sterling,May,47500.0,Chinook,4.1
2018,Tompkins,Fall Creek,Groton,April,300.0,Brown Trout,13.5
2019,Allegany,Hunt Creek,Alma,April,220.0,Brown Trout,9.0
2019,Herkimer,Steele Creek,German Flats,April,900.0,Rainbow Trout,8.5
2011,Hamilton,Otter Brook,Morehouse,June,750.0,Brook Trout,9.6
2014,Jefferson,Lake of the Woods,Theresa,May,900.0,Lake Trout,6.8
2014,Hamilton,Grassy Pond,Indian Lake,September,400.0,Brook Trout,3.2
2018,Sullivan,Sandburg Creek,Fallsburg,May,90.0,Brown Trout,9.4
2020,Cattaraugus,Quaker Run,Cold Spring,March,1340.0,Rainbow Trout,8.1
2012,Essex,Roes Pond (Special Kids Fishing Area),Moriah,May,600.0,Rainbow Trout,14.0
2020,Essex,Mirror Lake,North Elba,April,450.0,Lake Trout,6.5
2016,Allegany,Allen Lake,Allen,May,2230.0,Brook Trout,9.4
2015,Greene,Schoharie Creek,"Jewett, Lexington",April,200.0,Brown Trout,13.1
2014,Erie,Cazenovia Creek-East Branch,Aurora,March,2720.0,Brown Trout,7.8
2016,Rockland,Sparkill Creek,Orangetown,March,690.0,Brown Trout,8.9
2011,Monroe,Irondequoit Bay,"IRONDEQUOIT, PENFIELD, WEBSTER",June,11640.0,Walleye,1.7
2013,Fulton,East Canada Creek,"Oppenheim, Stratford",April,5380.0,Brown Trout,7.9
2015,Essex,Crane Pond,Schroon,May,1500.0,Rainbow Trout,8.1
2018,Sullivan,Beaver Kill,Rockland,May,1390.0,Brown Trout,9.4
2011,Chenango,Genegantslet Creek,Mcdonough,April,380.0,Brown Trout,8.2
2013,Essex,Owen Pond,North Elba,May,330.0,Brown Trout,8.2
2018,Madison,Old Chenango Canal,Madison,April,1130.0,Brown Trout,7.9
2011,Erie,Cazenovia Creek-East Branch,Aurora,March,2620.0,Brown Trout,8.4
2018,Dutchess,Webatuck Creek,Northeast,March,1910.0,Brown Trout,9.3
2012,Essex,West Branch Ausable,North Elba,May,250.0,Rainbow Trout,14.0
2014,Jefferson,Sixberry Lake,Theresa,May,650.0,Lake Trout,6.8
2019,Essex,Coldspring Pond,North Elba,May,90.0,Brown Trout,8.0
2016,Franklin,Bear Pond,Harrietstown,October,1400.0,Brook Trout,5.5
2014,Suffolk,Connetquot River,Islip,March,260.0,Brown Trout,8.8
2018,Oneida,Black River,"Boonville, Forestport",April,5740.0,Brown Trout,8.0
2012,Orleans,Lake Ontario,Carlton,May,14960.0,Brown Trout,8.6
2016,Oneida,Hinckley Reservoir,Trenton,May,5000.0,Rainbow Trout,9.2
2017,Rensselaer,Walloomsac River,Hoosick,April,1070.0,Brown Trout,8.0
2020,Jefferson,Felts Mills Creek,"Champion, Rutland",April,1200.0,Brook Trout,8.8
2011,Dutchess,Webatuck Creek,Northeast,April,1190.0,Brown Trout,8.4
2018,Albany,Hannacrois Creek,Coeymans,April,1040.0,Brown Trout,7.9
2016,Essex,Rogers Brook,Schroon,May,260.0,Brown Trout,8.1
2012,Chautauqua,Chautauqua Lake,Chautauqua,October,510.0,Muskellunge,8.4
2012,Oneida,Black River,Forestport,April,100.0,Brown Trout,13.6
2017,Niagara,Lake Ontario,Newfane,June,3280.0,Brown Trout,7.3
2020,Herkimer,Buck Pond,Webb,September,190.0,Brook Trout,4.7
2017,Hamilton,Castor Pond,Morehouse,September,450.0,Brook Trout,5.0
2015,Delaware,Delaware River West Branch,"Hamden, Walton",April,3940.0,Brown Trout,8.3
2015,Hamilton,Lake Pleasant,Lk Pleasant,June,29000.0,Walleye,1.5
2016,Franklin,Polliwog Pond,Santa Clara,April,1290.0,Brown Trout,8.2
2018,Essex,West Branch Ausable River,Jay,May,250.0,Brown Trout,13.0
2015,Livingston,Rattlesnake Pond 1,Ossian,September,200.0,Brook Trout,6.5
2017,Essex,Paradox Lake,Schroon,April,5300.0,Rainbow Trout,9.0
2019,Franklin,Salmon River,Malone,May,5490.0,Brown Trout,7.8
2014,Essex,Cold Brook,WILLSBORO,June,400.0,Brook Trout,9.0
2014,Oswego,Oswego River,Oswego (C),May,41890.0,Chinook,3.3
2013,Essex,Upper Cascade Lake,Keene,November,500.0,Brook Trout,6.5
2011,Essex,Whortleberry Pond,Schroon,October,1000.0,Brook Trout,4.2
2018,Franklin,Horseshoe Pond,Santa Clara,September,3190.0,Brook Trout,4.0
2020,Oneida,Ninemile Creek,"Marcy, Trenton",April,2310.0,Rainbow Trout,8.7
2014,Rensselaer,Long Pond,Grafton,April,1720.0,Brown Trout,8.6
2016,Ontario,Canandaigua Outlet,Phelps / Manchester,April,160.0,Brown Trout,13.6
2019,Essex,Rogers Brook,Schroon,May,270.0,Brown Trout,8.0
2015,Franklin,Salmon River,Malone,May,2700.0,Rainbow Trout,8.6
2020,Rensselaer,Wynants Kill,N Greenbush,March,590.0,Brown Trout,8.8
2019,Greene,East Kill,Jewett,May,710.0,Brown Trout,8.3
2017,Delaware,Beaver Kill,Colchester,May,1320.0,Brown Trout,9.0
2018,Delaware,Delaware River East Branch,Colchester,April,370.0,Brown Trout,13.0
2019,Herkimer,West Canada Creek,"Fairfield, Herkimer, Newport",June,3100.0,Brown Trout,7.7
2011,Essex,West Branch Ausable,Wilmington,May,75.0,Rainbow Trout,19.0
2014,Schenectady,Lisha Kill,Niskayuna,April,790.0,Brown Trout,7.8
2017,Orange,Shawangunk Kill,Crawford,March,3700.0,Rainbow Trout,9.0
2018,St Lawrence,Church Pond,Colton,September,320.0,Brook Trout,4.5
2012,Madison,Chittenango Creek,Sullivan,April,980.0,Brown Trout,8.0
2018,Seneca,Seneca Lake,Lodi,March,18790.0,Brown Trout,8.9
2020,Delaware,Little Pond,Andes,March,70.0,Brown Trout,8.8
2016,Clinton,Saranac River,Plattsburgh,March,45000.0,Landlocked Salmon,7.0
2017,Franklin,Lost Pond,Brighton,May,300.0,Brook Trout,2.5
2014,Essex,Hatch Pond,North Hudson,September,500.0,Brook Trout,3.8
2012,Essex,Bartlett Pond,Moriah,June,300.0,Brown Trout,14.0
2015,Jefferson,Stony Creek,Henderson,May,2570.0,Brown Trout,7.5
2019,Jefferson,North Sandy Creek,Ellisburg,April,14380.0,Steelhead,4.8
2013,Franklin,Negro Brook,Franklin,April,290.0,Brown Trout,8.1
2020,Clinton,Saranac River,Black Brook,April,1405.0,Rainbow Trout,9.0
2016,Delaware,Little Delaware River,Bovina,April,340.0,Brown Trout,8.9
2014,Erie,Lake Erie,Evans,May,4300.0,Brown Trout,8.6
2013,Essex,Oliver Pond,Schroon,May,510.0,Brown Trout,8.0
2013,Essex,Baily Pond,Schroon,September,200.0,Brook Trout,3.7
2011,Sullivan,Callicoon Ck North Branch,Callicoon,May,130.0,Brown Trout,8.8
2012,St Lawrence,Cranberry Lake,Clifton,April,6730.0,Brook Trout,8.1
2017,Erie,Eighteen Mile Ck S Br,Eden,April,20000.0,Steelhead,4.6
2015,Monroe,Lake Ontario,Greece,May,15410.0,Brown Trout,7.9
2019,Hamilton,Owlshead Pond,Long Lake,September,480.0,Brook Trout,4.0
2018,Madison,Cowaselon Creek,Oneida,April,1130.0,Brown Trout,7.9
2020,Dutchess,Sylvan Lake,Beekman,April,1470.0,Brown Trout,8.9
2019,Ulster,Esopus Creek,Olive,April,1950.0,Brown Trout,13.8
2019,Cortland,West Branch Tioughnioga River,Homer,April,3190.0,Brown Trout,7.6
2011,Essex,Gay Brook,Chesterfield,June,300.0,Brook Trout,8.0
2016,Rensselaer,Kinderhook Creek,Stephentown,April,2670.0,Brown Trout,8.0
2014,Essex,LAKE PLACID,NORTH ELBA,March,800.0,Rainbow Trout,13.0
2018,St Lawrence,Horseshoe Lake,Piercefield,September,2100.0,Tiger Muskellunge,9.5
2014,Warren,Schoon River,Chestertown,May,750.0,Brook Trout,10.2
2014,Dutchess,Crum Elbow Creek,Hyde Park,March,200.0,Rainbow Trout,8.9
2015,Hamilton,Beaverdam Pond,Morehouse,September,200.0,Brook Trout,4.3
2013,Hamilton,Little Rock Lake,Morehouse,September,200.0,Brook Trout,3.7
2013,Sullivan,Beaver Kill,Rockland,June,60.0,Brown Trout,13.1
2018,Suffolk,Kahler Pond,Brookhaven,March,430.0,Rainbow Trout,9.0
2011,Suffolk,East Lake,Brookhaven,March,250.0,Brown Trout,8.8
2019,Putnam,Lake Gleneida,Carmel,May,700.0,Lake Trout,6.6
2015,Rockland,Ramapo River,Sloatsburg,March,200.0,Brown Trout,13.1
2020,Dutchess,Wappingers Creek,Poughkeepsie,April,4120.0,Brown Trout,8.8
2018,Rensselaer,Walloomsac River,Hoosick,May,260.0,Brown Trout,8.3
2019,Franklin,Alder Brook,Franklin,April,350.0,Brook Trout,8.3
2018,Herkimer,Nicks Lake,Webb,May,1740.0,Brown Trout,8.1
2012,Franklin,Negro Brook,Franklin,April,350.0,Brown Trout,8.2
2015,Herkimer,Buck Pond,Webb,September,500.0,Brook Trout,4.6
2020,Wyoming,Little Tonawanda Creek,Middlebury,March,510.0,Brown Trout,9.0
2012,Greene,Catskill Creek,Cairo,April,3330.0,Brown Trout,8.4
2013,Fulton,Wolford's Pond,Johnstown,April,150.0,Brown Trout,7.9
2012,Oneida,Hinckley Reservoir,Trenton,June,600.0,Rainbow Trout,10.0
2012,Oswego,South Branch Grindstone Creek,Richland,October,2000.0,Brook Trout,5.3
2013,Delaware,Delaware River West Branch,Harpersfield,April,280.0,Brown Trout,13.4
2015,Hamilton,Mud Lake,Arietta,September,2000.0,Brook Trout,4.4
2013,Essex,Schroon River,Schroon,April,20000.0,Landlocked Salmon,1.1
2017,Clinton,North Branch Great Chazy River,Mooers,April,1280.0,Brown Trout,8.4
2015,Allegany,Dyke Creek,Andover,April,200.0,Brown Trout,13.1
2015,Livingston,Conesus Lake,"Livonia, Geneseo, Groveland, C",September,9500.0,Tiger Muskellunge,9.2
2012,Cattaraugus,County Pond B,Randolph,April,100.0,Brook Trout,8.9
2015,Essex,Hudson River,Minerva,May,5100.0,Rainbow Trout,8.0
2020,Cayuga,Owasco Lake,Scipio,April,5000.0,Rainbow Trout,6.1
2012,Franklin,Echo Pond,Santa Clara,November,222.0,Brook Trout,4.3
2016,Sullivan,Neversink River,Thompson,May,730.0,Brown Trout,9.1
2017,Ulster,Sawkill Creek,Woodstock,April,520.0,Brown Trout,8.9
2018,Hamilton,Jessup River,Lake Pleasant,June,1100.0,Brook Trout,9.1
2014,Ulster,Esopus Creek,Shandaken,May,2160.0,Brown Trout,9.0
2015,Wyoming,Tonawanda Creek,Orangeville,May,770.0,Brown Trout,9.2
2012,Monroe,Oatka Creek,Wheatland,April,1150.0,Brown Trout,8.2
2018,Franklin,Salmon River,Malone,May,200.0,Brown Trout,13.6
2020,St Lawrence,St Lawrence River,Ogdensburgh,October,7950.0,Lake Sturgeon,6.5
2017,Herkimer,Tied Lake,Webb,October,200.0,Brook Trout,5.0
2015,Jefferson,Grass Lake,Theresa,September,1600.0,Tiger Muskellunge,9.4
2020,Erie,Sprague Brook Park - Foote Ro,Concord,April,50.0,Brown Trout,13.6
2014,Warren,Schroon River,"Bolton, Brant Lk, Chester, Hor",May,1970.0,Rainbow Trout,8.6
2011,Steuben,Cohocton River,Cohocton,March,1680.0,Brown Trout,8.8
2012,Essex,McKenzie Brook (upstream of falls on Fish & Game Club Property),Moriah,April,300.0,Brook Trout,6.0
2020,Hamilton,Moose River,Morehouse,May,690.0,Brook Trout,7.6
2017,Cattaraugus,Great Valley Creek,Ellicottville,March,370.0,Brown Trout,9.0
2013,Cattaraugus,Alleghany River,Olean,November,399.0,Gilt Darter,29.0
2020,Delaware,Ouleout Creek,Franklin,April,400.0,Brown Trout,13.5
2020,Sullivan,Sandburg Creek,Fallsburg,May,70.0,Brown Trout,8.4
2012,Warren,Mud Ponds,Johnsburg,November,400.0,Brook Trout,4.5
2019,Putnam,Croton River West Branch,Carmel,March,580.0,Brown Trout,8.8
2015,Broome,Nanticoke Lake,Lisle,April,2300.0,Rainbow Trout,9.2
2011,Franklin,Lake Colby,Harrietstown,May,3400.0,Rainbow Trout,7.9
2011,Fulton,Bacon Brook,Oppenheim,September,400.0,Brown Trout,5.5
2013,Essex,Chapel Pond,Keene,October,500.0,Brook Trout,3.8
2013,Lewis,Otter Creek,Greig,June,250.0,Brown Trout,13.1
2017,Chenango,Otselic River,Pitcher,April,6680.0,Brown Trout,8.0
2011,Clinton,Upper Chateaugay Lake,Dannemora,April,2900.0,Lake Trout,6.1
2018,Cattaraugus,Quaker Lake,Elko,April,3650.0,Brown Trout,8.9
2020,Westchester,Titicus Reservoir,North Salem,March,3150.0,Rainbow Trout,9.0
2012,Hamilton,Indian River,Indian Lake,April,500.0,Brown Trout,12.8
2017,Hamilton,Crotched Pond,Indian Lake,September,2800.0,Brook Trout,4.0
2013,Hamilton,Owlshead Pond,Long Lake,September,400.0,Brook Trout,4.1
2011,Oneida,Lansing Kill,"Western, Ava",May,2160.0,Brown Trout,8.5
2020,Yates,Keuka Lake Outlet,"Milo, Torrey",March,1120.0,Brook Trout,7.2
2017,Saratoga,Kayaderosseras Creek,Greenfield,April,410.0,Brown Trout,8.2
2019,Orange,Wawayanda Creek,Warwick,April,710.0,Brown Trout,8.6
2016,Wyoming,Buffalo Creek,Java,March,200.0,Brown Trout,13.6
2012,Saratoga,Saratoga Lake,Stillwater,April,13020000.0,Walleye,0.4
2019,Seneca,Seneca Lake,Lodi,March,19140.0,Brown Trout,8.1
2013,Washington,Mettawee River,Whitehall,April,3200.0,Brown Trout,7.9
2014,Ontario,Honeoye Lake,Canadice,May,8700000.0,Walleye,0.4
2020,Essex,West Branch Ausable River,North Elba,April,480.0,Brown Trout,13.0
2011,Dutchess,Wappingers Creek,Stanford,March,210.0,Brown Trout,13.4
2012,Suffolk,Belmont Lake,Babylon,April,180.0,Brown Trout,8.6
2011,Dutchess,Sprout Creek,East Fishkill,April,640.0,Brown Trout,8.6
2013,Chautauqua,Walnut Creek,Hanover,April,10000.0,Steelhead,4.7
2013,St Lawrence,Spectacle Ponds,Clifton,October,200.0,Brook Trout,4.1
2016,Cattaraugus,Ischua Creek,Franklinville,April,950.0,Brown Trout,13.5
2017,Essex,Gay Brook,Chesterfield,April,350.0,Brook Trout,7.0
2019,Schoharie,Mallet Pond,Fulton,April,230.0,Rainbow Trout,8.9
2017,Ulster,Vernooy Kill,Wawarsing,May,780.0,Brook Trout,9.0
2013,Yates,Keuka Lake Outlet,"Milo, Torrey",April,400.0,Brown Trout,13.2
2020,Steuben,Canisteo River,Hornellsville,May,75.0,Brown Trout,13.2
2015,St Lawrence,Parishville Reservoir,Parishville,April,1280.0,Brown Trout,7.8
2017,Allegany,Hunt Creek,Alma,April,210.0,Brown Trout,9.0
2019,Essex,Big Sherman Pond,Minerva,October,600.0,Brook Trout,4.5
2017,Essex,East Branch Ausable River,Jay,April,200.0,Rainbow Trout,16.0
2020,Herkimer,Salmon Lake,webb,May,300.0,Landlocked Salmon,6.7
2012,Nassau,Massapequa Reservoir,Oyster Bay,March,300.0,Brown Trout,13.4
2019,Lewis,Oswegatchie River West Branch,Croghan,May,650.0,Brook Trout,7.8
2014,Monroe,Oatka Creek,Wheatland,May,150.0,Brown Trout,13.4
2020,Genesee,Oatka Creek,Le Roy,April,1250.0,Brown Trout,8.4
2017,Rensselaer,Poesten Kill,Poestenkill,April,370.0,Brown Trout,7.9
2011,Herkimer,Tied Lake,Webb,October,200.0,Brook Trout,5.0
2012,Niagara,Lower Niagara River,Porter,May,10000.0,Steelhead,5.1
2018,Putnam,Croton River West Branch,Carmel,March,570.0,Brown Trout,9.1
2015,Tompkins,Enfield Creek,Ithaca (C),May,12500.0,Rainbow Trout,6.2
2015,Delaware,Delaware River West Branch,Delhi,April,280.0,Brown Trout,12.9
2019,Greene,Schoharie Creek,"Jewett, Hunter",April,1060.0,Brown Trout,8.8
2014,Franklin,Saranac River,Harrietstown,April,320.0,Rainbow Trout,8.4
2018,Madison,Chittenango Creek,Sullivan,April,960.0,Brown Trout,7.9
2015,Cayuga,Dutch Hollow Brook,Owasco,October,10000.0,Rainbow Trout,2.6
2011,Wyoming,Cattaraugus Creek,Java,March,600.0,Brown Trout,12.8
2017,Steuben,Keuka Lake,Urbana,April,7760.0,Brown Trout,9.0
2019,Essex,Cheney Pond,Minerva,September,2760.0,Brook Trout,4.2
2014,Sullivan,White Lake,Bethel,May,1600.0,Lake Trout,9.0
2012,Hamilton,Moose River,"Inlet, Arietta",May,580.0,Brook Trout,8.8
2015,Orange,Walton Lake,Monroe,April,3420.0,Brown Trout,8.8
2020,Tioga,East Branch Owego Creek,"Newark Valley, Owego",April,300.0,Brown Trout,13.2
2018,St Lawrence,Oswegatchie River,Clifton,May,340.0,Brown Trout,13.0
2017,St Lawrence,Tamarack Pond,Clifton,October,850.0,Brook Trout,4.0
2016,Delaware,Ouleout Creek,Franklin,May,780.0,Brown Trout,8.9
2018,Ontario,Canandaigua Lake,Canandaigua (T),March,12100.0,Lake Trout,8.2
2016,Warren,Schroon River,Tumblehead Falls,April,600.0,Brook Trout,11.0
2014,Hamilton,Metcalf Lake,Morehouse,September,2000.0,Brook Trout,3.8
2019,Lewis,Otter Creek,Greig,May,400.0,Brown Trout,7.3
2014,Essex,Rankin Pond,Minerva,October,500.0,Brook Trout,3.7
2017,Dutchess,Fishkill Creek,"Beacon, Fishkill",March,1320.0,Brown Trout,8.3
2012,Jefferson,Payne Lake,Antwerp,June,3500.0,Walleye,1.4
2015,Greene,Greens Lake,Athens,April,200.0,Brown Trout,12.9
2020,Hamilton,Indian Lake,"Indian Lake, Lk Pleasant",April,6400.0,Lake Trout,6.7
2012,Suffolk,Southards Pond,Babylon,November,150.0,Brown Trout,11.6
2019,Delaware,Big Pond,Andes,September,30.0,Brown Trout,20.9
2017,Otsego,Wharton Creek,Edmestom,April,150.0,Brown Trout,12.2
2019,Jefferson,Sandy Creek,Adams,April,1770.0,Brown Trout,7.9
2014,Hamilton,Bullhead Pond,Indian Lake,May,240.0,Rainbow Trout,7.9
2019,Essex,Saranac River,St. Armand,May,300.0,Rainbow Trout,16.0
2015,Albany,Vly Creek,New Scotland,April,260.0,Brown Trout,7.8
2016,Dutchess,Ten Mile River,Dover,March,330.0,Brown Trout,13.5
2018,Steuben,Canaseraga Creek,Dansville,April,500.0,Brown Trout,12.6
2014,Jefferson,Stony Creek,Henderson,April,20700.0,Steelhead,4.6
2016,Orange,Askoti Lake,Tuxedo,April,690.0,Brown Trout,9.0
2017,Seneca,Canoga Creek,Fayette,March,250.0,Brook Trout,9.0
2019,Herkimer,Stillwater Reservoir,Webb,May,1500.0,Splake,8.1
2015,Allegany,Genesee River,Wellsville,April,640.0,Brown Trout,8.5
2018,Hamilton,Raquette Lake,Raquette lake,June,2100.0,Brook Trout,8.4
2016,Clinton,Mud Pond,Black Brook,October,1200.0,Brook Trout,4.0
2016,Tompkins,Cayuga Lake,Ithaca (T),May,13000.0,Landlocked Salmon,7.4
2015,St Lawrence,Little River,Fine,June,1540.0,Brown Trout,7.9
2012,Montgomery,Crum Creek,St Johnsville,April,350.0,Brown Trout,8.0
2017,Schuyler,Cayuta Creek,Catherine,May,185.0,Brown Trout,13.4
2013,Essex,Mckenzie Pond,"N. Elba, St. Armand",April,250.0,Landlocked Salmon,6.6
2014,Delaware,Big Pond,Andes,August,100.0,Brown Trout,16.1
2013,Hamilton,Mccombs Pond,Wells,September,200.0,Brook Trout,3.7
